2023/10/31-12:35:13 => load config ip = 192.168.11.6, 192.168.0.10, 192.168.0.20, 192.168.0.30
2023/10/31-12:35:14 => 刚启动，先读取使能状态
2023/10/31-12:35:14 => get connected cmd
2023/10/31-12:35:19 => sent:11 03 00 00 00 01 86 9A   to COM[14] , PORT[17]
2023/10/31-12:35:19 => sent:11 03 00 00 00 01 86 9A   to COM[15] , PORT[17]
2023/10/31-12:35:19 => sent:11 03 00 00 00 01 86 9A   to COM[16] , PORT[17]
2023/10/31-12:35:19 => sent:12 03 00 00 00 01 86 A9   to COM[1] , PORT[18]
2023/10/31-12:35:19 => sent:12 03 00 00 00 01 86 A9   to COM[2] , PORT[18]
2023/10/31-12:35:19 => sent:12 03 00 00 00 01 86 A9   to COM[3] , PORT[18]
2023/10/31-12:35:19 => sent:12 03 00 00 00 01 86 A9   to COM[4] , PORT[18]
2023/10/31-12:35:19 => sent:12 03 00 00 00 01 86 A9   to COM[5] , PORT[18]
2023/10/31-12:35:19 => sent:12 03 00 00 00 01 86 A9   to COM[6] , PORT[18]
2023/10/31-12:35:19 => sent:12 03 00 00 00 01 86 A9   to COM[7] , PORT[18]
2023/10/31-12:35:19 => sent:12 03 00 00 00 01 86 A9   to COM[8] , PORT[18]
